Sentence ID,type,CUI,Preferred name,Semantic Type,Text,Confidence Score,First char pos,Last char pos
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C2984079,Somewhat,fndg,somewhat,1000,31,39
1,entity,C0456389,size,spco,size,1000,43,47
1,entity,C4288440,Past 2 Weeks,tmco,past 2-3 weeks,923,57,71
2,entity,C0012173,Dietary Fiber,food,bulky,853,78,83
2,entity,C1096155,Macrophage Activation Syndrome,dsyn,mass,853,84,88
2,entity,C2984079,Somewhat,fndg,somewhat,888,92,100
2,entity,C0231435,Mobile,ftcn,mobile,888,101,107
2,entity,C0205098,Medial,spco,medial,861,115,121
2,entity,C0151811,Subcutaneous nodule,patf,subcutaneous nodules,1000,143,163
2,entity,C1518422,Negation,ftcn,not,1000,174,177
2,entity,C0332152,Before,tmco,before,1000,191,197
3,entity,C0004454,Axilla,blor,axillary,1000,204,212
3,entity,C0018795,Cardiac Catheterization Procedures,hlca,heart catheterization,1000,224,245
4,entity,C0205276,Local,spco,local,709,271,276
4,entity,C1427148,LRRC15 gene,gngm,lib,709,277,280
4,entity,C0013194,Drug Packaging,medd,packages,709,296,304
4,entity,C0919414,Arabic numeral 0,qnco,zero,1000,357,361
4,entity,C0030705,Patients,podg,patient,1000,386,393
4,entity,C0019994,Hospitals,"hcro,mnob",hospital,1000,414,422
4,entity,C0030705,Patients,podg,patient,1000,430,437
4,entity,C0030193,Pain,sosy,pain,1000,463,467
5,entity,C0018670,Head,blor,head,1000,474,478
5,entity,C0030193,Pain,sosy,pain,1000,485,489
5,entity,C0030705,Patients,podg,patient,1000,496,503
5,entity,C0009818,Consultation,hlca,consultation,1000,543,555
6,entity,C0237881,Statistical Significance,qnco,significant,1000,577,588
6,entity,C0030705,Patients,podg,patient,1000,595,602
7,entity,C0030705,Patients,podg,patient,1000,618,625
7,entity,C0030705,Patients,podg,patient,1000,646,653
7,entity,C0019994,Hospitals,"hcro,mnob",hospital,1000,674,682
7,entity,C0205329,Progressive,ftcn,progressive,1000,687,698
7,entity,C0030705,Patients,podg,patient,1000,706,713
7,entity,C0582103,Medical Examination,hlca,exam,1000,734,738
7,entity,C1867020,SCALP-EAR-NIPPLE SYNDROME,dsyn,sens,1000,782,786
8,entity,C0439064,Numerous,qnco,multiple,1000,802,810
8,entity,C0019994,Hospitals,"hcro,mnob",hospital,1000,838,846
8,entity,C0582103,Medical Examination,hlca,exam,1000,872,876
8,entity,C1518422,Negation,ftcn,not,1000,881,884
8,entity,C0030705,Patients,podg,patient,1000,889,896
8,entity,C0205358,Soft,qlco,soft,1000,911,915
9,entity,C0582103,Medical Examination,hlca,exam,1000,964,968
9,entity,C0030705,Patients,podg,patient,1000,997,1004
9,entity,C4321457,Examination,acty,examination,1000,1032,1043
9,entity,C1518422,Negation,ftcn,not,1000,1048,1051
9,entity,C1519246,Send (transmission),ftcn,sent,1000,1054,1058
9,entity,C1518422,Negation,ftcn,not,1000,1089,1092
9,entity,C0030193,Pain,sosy,pain,1000,1095,1099
10,entity,C0030705,Patients,podg,patient,1000,1125,1132
10,entity,C0449450,Presentation,idcn,presented,1000,1187,1196
10,entity,C0030193,Pain,sosy,pain,1000,1207,1211
10,entity,C0030705,Patients,podg,patient,1000,1218,1225
10,entity,C0439228,day,tmco,days,1000,1254,1258
10,entity,C0021308,Infarction,patf,infarction,861,1279,1289
11,entity,C4050466,Borg Category-Ratio 10 Perceived Exertion Score 5,inpr,severe,1000,1314,1320
11,entity,C2279553,Consul,euka,consul,1000,1325,1331
1,entity,C1511726,Data,idcn,data,827,6,10
1,entity,C2984079,Somewhat,fndg,somewhat,1000,31,39
1,entity,C0456389,size,spco,size,1000,43,47
1,entity,C4288440,Past 2 Weeks,tmco,past 2-3 weeks,923,57,71
2,entity,C0012173,Dietary Fiber,food,bulky,853,78,83
2,entity,C1096155,Macrophage Activation Syndrome,dsyn,mass,853,84,88
2,entity,C2984079,Somewhat,fndg,somewhat,888,92,100
2,entity,C0231435,Mobile,ftcn,mobile,888,101,107
2,entity,C0205098,Medial,spco,medial,861,115,121
2,entity,C0151811,Subcutaneous nodule,patf,subcutaneous nodules,1000,143,163
2,entity,C1518422,Negation,ftcn,not,1000,174,177
2,entity,C0332152,Before,tmco,before,1000,191,197
3,entity,C0004454,Axilla,blor,axillary,1000,204,212
3,entity,C0205183,Benign,qlco,benign,1000,240,246
4,entity,C0582103,Medical Examination,hlca,exam,1000,277,281
5,entity,C0030705,Patients,podg,patient,1000,291,298
5,entity,C0205183,Benign,qlco,benign,660,334,340
6,entity,C0262926,Medical History,fndg,PAST MEDICAL HISTORY,1000,362,382
6,entity,C0030705,Patients,podg,patient,1000,389,396
7,entity,C0012359,Pathological Dilatation,patf,Distention,1000,414,424
8,entity,C0806915,Medication.discharge,fndg,DISCHARGE MEDICATIONS,1000,427,448
8,entity,C2926602,"Discharge, body substance",bdsu,DISCHARGE,1000,452,461
8,entity,C3163695,Transarterial embolization,topp,TAE,1000,481,484
8,entity,C1512018,Doctor of Medicine,inpr,M.D,1000,487,490
9,entity,C1628992,Admission diagnosis,fndg,ADMISSION DIAGNOSIS,901,500,519
9,entity,C0012634,Disease,dsyn,disease,1000,546,553
9,entity,C0086582,Males,orga,male,1000,590,594
10,entity,C0262926,Medical History,fndg,PAST MEDICAL HISTORY,1000,597,617
10,entity,C0030705,Patients,podg,patient,1000,624,631
10,entity,C0449450,Presentation,idcn,presented,1000,657,666
