Sentence ID,type,CUI,Preferred name,Semantic Type,Text,Confidence Score,First char pos,Last char pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,text,0,37,Test Data 001: phosphokinase levels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C0022885,Laboratory Procedures,lbpr,Test,790,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C1511726,Data,idcn,Data,790,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,entity,C0031727,Phosphotransferases,"aapp,enzy",phosphokinase,694,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,text,37,125,"Her abdominal pain was gone by the next hospital day , and her electrolytes normalized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0000737,Abdominal Pain,sosy,abdominal pain,1000,41,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0205117,Adjacent,spco,next,901,72,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0587438,Day hospital,"hcro,mnob",hospital day,901,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,entity,C0013832,Electrolytes,"inch,phsu",electrolytes,1000,100,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,text,125,303,"The patient had some mild diarrhea , which slowly resolved , and she remained in atrial fibriluation , showed a spontaneous because of the patient with a secondary to his pain .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0030705,Patients,podg,patient,1000,129,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0011991,Diarrhea,sosy,diarrhea,861,151,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0439834,Slow,qlco,slowly,1000,168,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0018792,Heart Atrium,bpoc,atrial,694,206,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0205359,Spontaneous,ftcn,spontaneous,1000,237,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0030705,Patients,podg,patient,1000,264,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0027627,Neoplasm Metastasis,neop,secondary,1000,279,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,entity,C0030193,Pain,sosy,pain,1000,296,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,relation,2,1,C0027627,neop,,,0,,,,,,,,,,1000,279,288,PREP,PROCESS_OF,,272,276,5,1,C0030705,Patients,"podg,humn",humn,,,patient,,,0,1000,264,271
3,relation,6,1,C0011991,sosy,,,0,,,,,,,,,,861,151,159,AUX,PROCESS_OF,,137,140,1,1,C0030705,Patients,"podg,humn",humn,,,patient,,,0,1000,129,136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,text,303,521,He was sensi/usr/local/lib/python3.6/dist-packages/ipykernel_launcher.py:62: RuntimeWarning: divide by zero encountered in log tive to the patient was admitted to the patient was sensitive to the patient with a pain .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0205276,Local,spco,local,699,320,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C1427148,LRRC15 gene,gngm,lib,699,326,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0013194,Drug Packaging,medd,packages,699,345,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0919414,Arabic numeral 0,qnco,zero,1000,406,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C2986775,Logarithm,qnco,log,694,426,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0030705,Patients,podg,patient,1000,442,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0030705,Patients,podg,patient,1000,470,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0020517,Hypersensitivity,patf,sensitive,1000,482,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0030705,Patients,podg,patient,1000,499,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,entity,C0030193,Pain,sosy,pain,1000,514,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,relation,1,1,C0030193,sosy,,,0,,,,,,,,,,1000,514,518,PREP,PROCESS_OF,,507,511,8,1,C0030705,Patients,"podg,humn",humn,,,patient,,,0,1000,499,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,text,521,591,"He was sensition , which was a patient , and a left lower extremity .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0030705,Patients,podg,patient,1000,552,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,entity,C0230416,Left lower extremity,bpoc,left lower extremity,1000,568,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,text,591,672,"He was admitted to the patient was admitted to the patient , no blood prostate .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C0030705,Patients,podg,patient,1000,614,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C0030705,Patients,podg,patient,1000,642,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C0005767,Blood,bdsu,blood,888,655,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,entity,C0033572,Prostate,bpoc,prostate,888,661,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,text,672,751,He was sensities the patient was transferred to the Emergency Departhication .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,entity,C0030705,Patients,podg,patient,1000,693,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,text,751,824,The patient was admitted to the patient was sensitive in the extremity .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0030705,Patients,podg,patient,1000,755,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0030705,Patients,podg,patient,1000,783,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0020517,Hypersensitivity,patf,sensitive,1000,795,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,entity,C0015385,Limb structure,bpoc,extremity,1000,812,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
